,column_name,shap_importance
349,A363,0.0009114548026263102
18,A19,0.0009030797165263128
72,A73,0.0008959023950875647
143,A144,0.0008459566766248378
47,A48,0.0008269731680605226
6,A7,0.0007948656625446685
38,A39,0.0007423349422939282
192,A193,0.0007343593033553978
15,A16,0.0007209663064377903
135,A136,0.0007170965006700754
68,A69,0.0006979017503074468
58,A59,0.0006753600549113068
367,A381,0.0006708584754536707
69,A70,0.0006355271124611015
345,A359,0.0006311315652730127
152,A153,0.0006077969496007364
150,A151,0.0005985466801555122
393,A407,0.0005886859243576084
55,A56,0.0005867190429819939
35,A36,0.0005583452588105673
125,A126,0.0005276318995057657
8,A9,0.0005231973521447822
49,A50,0.0005179639406863442
31,A32,0.000516446257739575
132,A133,0.0005125293554568051
185,A186,0.0004673324897921702
65,A66,0.00044363065332417057
70,A71,0.00043568954815592306
138,A139,0.00042221214504268044
356,A370,0.00041930132119379423
62,A63,0.0004188420993948659
129,A130,0.00040456611613831
34,A35,0.0003793628077082655
134,A135,0.0003701682094209759
142,A143,0.00031979586334069537
404,A418,0.00031444241242962247
61,A62,0.0002951443960490952
358,A372,0.0002856701812810534
197,A198,0.0002807680050174721
137,A138,0.00025803474739714345
174,A175,0.00025346356819356164
388,A402,0.0002422090850716444
149,A150,0.0002403260785621014
198,A199,0.00023652806908539434
355,A369,0.00021897542553901974
169,A170,0.00021004364273955958
160,A161,0.00020734625376124944
167,A168,0.00020106736331960515
22,A23,0.00018188533671215543
81,A82,0.00016380066140658848
173,A174,0.00015778242971130097
184,A185,0.00015610050797644061
155,A156,0.00014192506267089646
363,A377,0.00012990210497885102
37,A38,0.00012599106321623655
151,A152,0.00011853358975779269
146,A147,0.00011750727975426985
187,A188,9.570298315257161e-05
60,A61,9.39063633043308e-05
401,A415,9.380601918478105e-05
371,A385,9.371761539775844e-05
348,A362,8.657127806091836e-05
147,A148,8.135420091075615e-05
165,A166,7.285152925628e-05
159,A160,6.933935834214253e-05
161,A162,5.521020079121725e-05
352,A366,4.445300176697005e-05
353,A367,4.159119530893338e-05
115,A116,3.296533703900949e-05
176,A177,3.0719137123933554e-05
380,A394,2.9724001789315175e-05
139,A140,2.8587196586877317e-05
186,A187,2.025940835226778e-05
409,A423,1.7209577860016156e-06
188,A189,1.590703048565539e-06
327,A333,0.0
328,A334,0.0
332,A343,0.0
331,A342,0.0
333,A345,0.0
330,A336,0.0
329,A335,0.0
340,A353,0.0
334,A346,0.0
335,A347,0.0
336,A348,0.0
337,A350,0.0
338,A351,0.0
339,A352,0.0
341,A354,0.0
342,A355,0.0
343,A356,0.0
4,A5,0.0
5,A6,0.0
326,A330,0.0
411,A425,0.0
325,A329,0.0
309,A311,0.0
2,A3,0.0
297,A299,0.0
298,A300,0.0
299,A301,0.0
300,A302,0.0
301,A303,0.0
302,A304,0.0
303,A305,0.0
304,A306,0.0
305,A307,0.0
306,A308,0.0
307,A309,0.0
308,A310,0.0
310,A312,0.0
324,A328,0.0
311,A313,0.0
312,A314,0.0
313,A315,0.0
314,A316,0.0
315,A318,0.0
316,A319,0.0
317,A320,0.0
7,A8,0.0
319,A322,0.0
320,A323,0.0
321,A324,0.0
322,A325,0.0
323,A327,0.0
318,A321,0.0
362,A376,0.0
13,A14,0.0
397,A411,0.0
387,A401,0.0
416,A430,0.0
389,A403,0.0
390,A404,0.0
391,A405,0.0
415,A429,0.0
392,A406,0.0
394,A408,0.0
414,A428,0.0
395,A409,0.0
396,A410,0.0
413,A427,0.0
385,A399,0.0
399,A413,0.0
400,A414,0.0
402,A416,0.0
403,A417,0.0
11,A12,0.0
405,A419,0.0
295,A297,0.0
406,A420,0.0
407,A421,0.0
408,A422,0.0
410,A424,0.0
386,A400,0.0
384,A398,0.0
351,A365,0.0
369,A383,0.0
9,A10,0.0
10,A11,0.0
420,A434,0.0
359,A373,0.0
360,A374,0.0
419,A433,0.0
364,A378,0.0
365,A379,0.0
366,A380,0.0
418,A432,0.0
368,A382,0.0
370,A384,0.0
383,A397,0.0
372,A386,0.0
373,A387,0.0
374,A388,0.0
375,A389,0.0
376,A390,0.0
377,A391,0.0
378,A392,0.0
379,A393,0.0
417,A431,0.0
381,A395,0.0
382,A396,0.0
296,A298,0.0
241,A242,0.0
294,A296,0.0
190,A191,0.0
199,A200,0.0
196,A197,0.0
195,A196,0.0
