iter	Passed	Remaining
400	28668	42823
401	28735	42745
402	28802	42667
403	28868	42588
404	28936	42511
405	29004	42434
406	29066	42349
407	29140	42281
408	29211	42210
409	29290	42149
410	29364	42082
411	29429	42001
412	29493	41919
413	29563	41846
414	29633	41773
415	29705	41701
416	29776	41630
417	29846	41556
418	29923	41493
419	29997	41424
420	30068	41353
421	30131	41270
422	30198	41192
423	30275	41128
424	30353	41066
425	30427	40998
426	30493	40920
427	30570	40856
428	30638	40780
429	30711	40710
430	30786	40644
431	30861	40576
432	30931	40503
433	31006	40436
434	31080	40368
435	31149	40294
436	31224	40227
437	31295	40154
438	31366	40083
439	31431	40003
440	31504	39933
441	31576	39863
442	31644	39787
443	31715	39715
444	31781	39637
445	31848	39561
446	31915	39483
447	31977	39401
448	32048	39329
449	32117	39254
450	32186	39180
451	32250	39100
452	32308	39012
453	32367	38926
454	32435	38851
455	32502	38775
456	32574	38703
457	32639	38626
458	32700	38542
459	32768	38467
460	32837	38393
461	32903	38316
462	32976	38247
463	33044	38172
464	33112	38097
465	33180	38022
466	33254	37953
467	33329	37887
468	33406	37823
469	33485	37760
470	33554	37686
471	33617	37606
472	33682	37528
473	33751	37453
474	33816	37376
475	33880	37297
476	33949	37222
477	34013	37144
478	34080	37069
479	34148	36994
480	34217	36920
481	34290	36851
482	34367	36786
483	34443	36721
484	34516	36651
485	34584	36577
486	34653	36503
487	34722	36430
488	34793	36358
489	34859	36282
490	34928	36208
491	34996	36134
492	35064	36059
493	35128	35981
494	35194	35905
495	35263	35832
496	35333	35759
497	35401	35686
498	35471	35613
499	35542	35542
500	35614	35472
501	35686	35402
502	35750	35323
503	35819	35251
504	35891	35180
505	35969	35116
506	36053	35058
507	36122	34985
508	36193	34913
509	36261	34839
510	36332	34768
511	36409	34702
512	36480	34631
513	36555	34564
514	36624	34491
515	36699	34423
516	36773	34354
517	36850	34289
518	36926	34223
519	36998	34152
520	37071	34083
521	37146	34015
522	37215	33941
523	37285	33869
524	37356	33799
525	37426	33726
526	37500	33658
527	37573	33588
528	37649	33521
529	37726	33455
530	37795	33382
531	37863	33308
532	37929	33232
533	38000	33161
534	38071	33090
535	38143	33019
536	38216	32950
537	38284	32876
538	38353	32803
539	38419	32727
540	38492	32658
541	38566	32589
542	38638	32519
543	38708	32446
544	38777	32373
545	38848	32302
546	38920	32232
547	38995	32164
548	39076	32100
549	39156	32037
550	39222	31961
551	39289	31886
552	39364	31818
553	39430	31743
554	39501	31672
555	39576	31603
556	39641	31528
557	39708	31453
558	39772	31376
559	39843	31305
560	39911	31232
561	39987	31164
562	40056	31091
563	40128	31021
564	40196	30948
565	40269	30877
566	40340	30806
567	40405	30731
568	40475	30658
569	40545	30586
570	40612	30512
571	40683	30441
572	40751	30368
573	40820	30295
574	40906	30234
575	40984	30168
576	41059	30100
577	41133	30031
578	41202	29958
579	41273	29887
580	41353	29822
581	41426	29753
582	41507	29688
583	41589	29625
584	41663	29556
585	41736	29486
586	41817	29422
587	41890	29351
588	41962	29281
589	42032	29208
590	42109	29141
591	42183	29072
592	42252	28999
593	42320	28926
594	42393	28856
595	42459	28781
596	42530	28709
597	42598	28636
598	42668	28564
599	42741	28494
600	42819	28427
601	42889	28355
602	42968	28289
603	43047	28223
604	43122	28154
605	43196	28085
606	43269	28014
607	43343	27945
608	43421	27878
609	43493	27807
610	43564	27735
611	43681	27693
612	43775	27636
613	43879	27585
614	43960	27520
615	44043	27455
616	44117	27386
617	44189	27314
618	44265	27245
619	44337	27174
620	44414	27106
621	44488	27036
622	44559	26964
623	44637	26896
624	44706	26824
625	44777	26752
626	44849	26680
627	44919	26608
628	44988	26535
629	45064	26466
630	45141	26397
631	45215	26328
632	45290	26258
633	45364	26188
634	45438	26118
635	45514	26049
636	45596	25983
637	45670	25913
638	45750	25846
639	45820	25774
640	45922	25719
641	46015	25660
642	46106	25599
643	46191	25534
644	46276	25469
645	46342	25395
646	46419	25326
647	46495	25256
648	46569	25186
649	46638	25112
650	46709	25040
651	46777	24966
652	46850	24896
653	46920	24823
654	46994	24752
655	47070	24683
656	47146	24613
657	47219	24542
658	47291	24470
659	47364	24399
660	47439	24329
661	47515	24260
662	47585	24187
663	47661	24117
664	47734	24046
665	47800	23971
666	47870	23899
667	47942	23827
668	48014	23756
669	48091	23686
670	48161	23614
671	48225	23538
672	48292	23464
673	48353	23387
674	48420	23313
675	48484	23238
676	48548	23162
677	48621	23091
678	48692	23019
679	48765	22948
680	48832	22874
681	48897	22799
682	48966	22726
683	49042	22656
684	49106	22581
685	49173	22507
686	49235	22432
687	49305	22359
688	49377	22287
689	49442	22213
690	49509	22139
691	49576	22065
692	49637	21989
693	49707	21917
694	49772	21842
695	49836	21767
696	49899	21692
697	49964	21617
698	50030	21544
699	50094	21469
700	50153	21392
701	50223	21319
702	50292	21247
703	50361	21174
704	50426	21100
705	50488	21024
706	50553	20950
707	50619	20876
708	50685	20803
709	50745	20727
710	50816	20655
711	50893	20586
712	50968	20516
713	51040	20444
714	51104	20370
715	51166	20295
716	51229	20220
717	51295	20146
718	51358	20072
719	51421	19997
720	51488	19924
721	51550	19849
722	51616	19775
723	51681	19701
724	51747	19628
725	51807	19552
726	51871	19478
727	51936	19405
728	52002	19331
729	52067	19257
730	52130	19183
731	52196	19110
732	52262	19036
733	52330	18964
734	52392	18889
735	52455	18815
736	52521	18742
737	52585	18668
738	52652	18595
739	52719	18523
740	52786	18450
741	52855	18378
742	52924	18306
743	52988	18232
744	53053	18159
745	53120	18086
746	53185	18013
747	53247	17939
748	53317	17867
749	53382	17794
750	53447	17720
751	53513	17648
752	53576	17574
753	53639	17500
754	53707	17428
755	53772	17355
756	53835	17281
757	53895	17206
758	53960	17133
759	54020	17059
760	54085	16986
761	54148	16912
762	54213	16839
763	54278	16766
