iter	Logloss
0	0.6836130659
1	0.6745380223
2	0.6674471949
3	0.6621805856
4	0.6554062106
5	0.6497935043
6	0.6447239754
7	0.6394051144
8	0.6351338608
9	0.6303417734
10	0.6268127112
11	0.6221716674
12	0.6171278877
13	0.6134090605
14	0.609887254
15	0.6070881753
16	0.6033621462
17	0.6012340859
18	0.5978559285
19	0.5962814667
20	0.5937182943
21	0.5922204325
22	0.5897492255
23	0.5883638508
24	0.5868183572
25	0.5846280198
26	0.5833489995
27	0.5819636313
28	0.5808670908
29	0.5801409808
30	0.5790646824
31	0.577443852
32	0.575923971
33	0.5743599467
34	0.5731332567
35	0.5719307081
36	0.5711245224
37	0.570044558
38	0.5688516943
39	0.5672426872
40	0.5656929405
41	0.5640592926
42	0.5622488837
43	0.560101849
44	0.5594702551
45	0.5586030872
46	0.5580848258
47	0.5574877588
48	0.5563913591
49	0.5559316054
50	0.5551940415
51	0.5545833855
52	0.5540320303
53	0.5532555932
54	0.5513917264
55	0.550099408
56	0.5495251659
57	0.5491161323
58	0.5481110902
59	0.5476678849
60	0.5466517128
61	0.5463629275
62	0.545684351
63	0.5452917503
64	0.5449055625
65	0.5439074566
66	0.5421345854
67	0.5411237725
68	0.5399584019
69	0.5391272492
70	0.5384306841
71	0.5380528327
72	0.5374198046
73	0.5367542784
74	0.5360853283
75	0.5356500319
76	0.5352332953
77	0.5347913871
78	0.5344808347
79	0.5337899374
80	0.5335402923
81	0.5331813296
82	0.53218555
83	0.5308446343
84	0.5302443786
85	0.5299225635
86	0.5295234027
87	0.5292919221
88	0.5289242261
89	0.5285549597
90	0.5281536107
91	0.5279595882
92	0.5277458725
93	0.5266746212
94	0.5260630628
95	0.5259195619
96	0.5253697331
97	0.5251482677
98	0.5248064489
99	0.5237966349
100	0.5236359261
101	0.5236016661
102	0.5230433551
103	0.5227956492
104	0.5223419522
105	0.5212447977
106	0.5208099792
107	0.5204753847
108	0.5203388289
109	0.5200732233
110	0.5195521622
111	0.5192324378
112	0.5189871068
113	0.5186910126
114	0.5182070247
115	0.517580297
116	0.5169791987
117	0.5169081139
118	0.5167309145
119	0.5165078304
120	0.51570336
121	0.5150516608
122	0.5144836553
123	0.5135962707
124	0.5134033485
125	0.5132607006
126	0.5126880161
127	0.5123382177
128	0.5121185851
129	0.5119266962
130	0.5114747518
131	0.5114248449
132	0.5112077087
133	0.5103303332
134	0.5099594387
135	0.5096970487
136	0.509029448
137	0.5088695709
138	0.5086764318
139	0.5085853251
140	0.5083980891
141	0.5083029496
142	0.5076822931
143	0.5075661721
144	0.507010957
145	0.5062961562
146	0.5059177008
147	0.5055428116
148	0.5047914148
149	0.5045619896
150	0.5044381661
151	0.5041946766
152	0.5035850269
153	0.5034838782
154	0.5027139496
155	0.5025905405
156	0.5024521367
157	0.5023362303
158	0.502007889
159	0.5019375648
160	0.5011101199
161	0.5009503565
162	0.5003054576
163	0.5001090194
164	0.4997911143
165	0.4993610882
166	0.4990348683
167	0.4985226285
168	0.4984366339
169	0.4982284559
170	0.4981545942
171	0.4976582927
172	0.4974375431
173	0.4973431983
174	0.4971427661
175	0.4966267116
176	0.4965124141
177	0.4964427956
178	0.4960718496
179	0.4956177909
180	0.4950593277
181	0.4946756235
182	0.4943346826
183	0.4941914641
184	0.4940238045
185	0.4935553147
186	0.4933800504
187	0.4922756719
188	0.4919672329
189	0.4917066946
190	0.4908137538
191	0.4903909532
192	0.4901416869
193	0.4900368084
194	0.4897902668
195	0.4896011403
196	0.4894238068
197	0.4887201237
198	0.4882788624
199	0.4879238675
200	0.4875727211
201	0.4874091829
202	0.4869469696
203	0.486758705
204	0.4865172396
205	0.4862565263
206	0.4856545685
207	0.4855501575
208	0.4850018319
209	0.4844535954
210	0.484352838
211	0.4836311106
212	0.4834431046
213	0.4832683225
214	0.4826924899
215	0.4821272252
216	0.4816566883
217	0.4813357493
218	0.4811697439
219	0.4807243042
220	0.4806735612
221	0.4803391409
222	0.4801134543
223	0.4796593548
224	0.479427725
225	0.4791619012
226	0.4787862051
227	0.4787502712
228	0.4785355757
229	0.4784414643
230	0.4779502997
231	0.4778000147
232	0.4775496182
233	0.4774403453
234	0.4770779092
235	0.4769293961
236	0.4768214178
237	0.4764878969
238	0.4763053591
239	0.4761807677
240	0.4760176966
241	0.4755508773
242	0.4753353174
243	0.4747680886
244	0.4745902092
245	0.4741331249
246	0.4739012444
247	0.4737046175
248	0.473567048
249	0.4734001963
250	0.4733016452
251	0.4730106016
252	0.4728732869
253	0.4724826177
254	0.4723591568
255	0.4721524136
256	0.4720951465
257	0.4716545759
258	0.4713684214
259	0.4707581005
260	0.4705629231
261	0.4700243162
262	0.4697262436
263	0.4696333586
264	0.4694787446
265	0.4689872805
266	0.4687780499
267	0.4685715375
268	0.4682836304
269	0.468149545
270	0.4679442271
271	0.4677898672
272	0.4672663169
273	0.4672196015
274	0.4670071322
275	0.4668663297
276	0.4663490156
277	0.4659349638
278	0.4653834009
279	0.4651560398
280	0.4648453702
281	0.4642004131
282	0.4640694843
283	0.4639808839
284	0.4637843798
285	0.4635640701
286	0.4634369933
287	0.463028862
288	0.4624988691
289	0.4622107916
290	0.4619939606
291	0.4618702517
292	0.4616512183
293	0.4611671358
294	0.4607645008
295	0.460701394
296	0.4604145598
297	0.4601121765
298	0.4599927593
299	0.45957812
300	0.4593939034
301	0.4590871925
302	0.4587247029
303	0.4585189332
304	0.4583375444
305	0.4582166083
306	0.458095518
307	0.4579644681
308	0.4578381679
309	0.4577890117
310	0.457349165
311	0.4569610663
312	0.4567292653
313	0.456516862
314	0.4563465574
315	0.4559519642
316	0.4558774206
317	0.4556467969
318	0.4555022336
319	0.4551654931
320	0.4548858246
321	0.4545939073
322	0.4543914099
323	0.4540307123
324	0.4537905197
325	0.4533776046
326	0.4530719397
327	0.4528984171
328	0.4524795103
329	0.452345252
330	0.4519847312
331	0.4519234137
332	0.4517664489
333	0.4516497974
334	0.4515962296
335	0.4515677442
336	0.4514085889
337	0.4512272734
338	0.4509173362
339	0.4505263984
340	0.4504105192
341	0.4502955992
342	0.450148682
343	0.4495670358
344	0.4493329634
345	0.4491144336
346	0.4490826492
347	0.4488383781
348	0.4487021546
349	0.4486466581
350	0.4485800052
351	0.4483401028
352	0.4480733239
353	0.4479398659
354	0.4477654855
355	0.4472795547
356	0.4472271933
357	0.4471199432
358	0.4468406219
359	0.4464404637
360	0.4462753652
361	0.446217278
362	0.4461731959
363	0.4460451753
364	0.4459070519
365	0.4456737958
366	0.4455602796
367	0.445277208
368	0.4451709927
369	0.4448684095
370	0.4445552568
371	0.4444596714
372	0.4443321449
373	0.4439102254
374	0.4438625675
375	0.443782031
376	0.4436894676
377	0.4436586195
378	0.4435980165
379	0.4435408065
380	0.4433574866
381	0.4430008747
382	0.4428775948
383	0.4428236057
384	0.442721965
385	0.4426379403
386	0.442369241
387	0.442300667
388	0.4422244604
389	0.4420389621
390	0.4416820856
391	0.4414701509
392	0.4412526353
393	0.4411135964
394	0.440925684
395	0.4403173054
396	0.4401290961
397	0.4399305621
398	0.4399017602
399	0.4398120258
400	0.4396363056
401	0.439404304
402	0.4393871817
403	0.4392779639
404	0.4391868521
405	0.4390416238
406	0.4389547107
407	0.4387842348
408	0.4384431824
409	0.4382043686
410	0.4380745453
411	0.4380227853
412	0.437876765
413	0.4376249464
414	0.4376091754
415	0.4374406085
416	0.4373596
417	0.4372012857
418	0.4371351713
419	0.4370363301
420	0.4367888797
421	0.4366579196
422	0.4366245068
423	0.4365512086
424	0.4364289366
425	0.436243372
426	0.4361700269
427	0.4360943451
428	0.4358640066
429	0.4355277724
430	0.4353577925
431	0.4351940732
432	0.4351304445
433	0.4350228276
434	0.4346814597
435	0.4344740376
436	0.4343581476
437	0.4342713722
438	0.434032959
439	0.4337160118
440	0.4335792721
441	0.433486813
442	0.4333933136
443	0.4332838315
444	0.4331545126
445	0.4331212338
446	0.4330137185
447	0.4329044345
448	0.4328613893
449	0.4327762393
450	0.4325816886
451	0.4324219572
452	0.4324069916
453	0.4323742022
454	0.432298435
455	0.4320913491
456	0.4320354658
457	0.4319253709
458	0.4318482317
459	0.4318024965
460	0.4316732368
461	0.4312822148
462	0.4311857207
463	0.4308962885
464	0.4308416732
465	0.4308104427
466	0.4306058025
467	0.4304222884
468	0.4303674772
469	0.4302337716
470	0.4300826891
471	0.4299540178
472	0.4298494474
473	0.4297635413
474	0.4296230455
475	0.4293666268
476	0.4292439061
477	0.4290964366
478	0.4290840615
479	0.4290325535
480	0.4288126975
481	0.4286630281
482	0.4284592379
483	0.4284395059
484	0.4283962973
485	0.4282070566
486	0.4281778139
487	0.4280867896
488	0.4280082044
489	0.4278946787
490	0.4278710986
491	0.4277805997
492	0.4277438956
493	0.4277155095
494	0.4274581023
495	0.4273195606
496	0.4272409198
497	0.4270829791
498	0.4268171623
499	0.4267140555
500	0.4265616142
501	0.4264295141
502	0.4263088441
503	0.426111739
504	0.4260881605
505	0.4260001583
506	0.4258929552
507	0.4257071597
508	0.4256124745
509	0.4254476559
510	0.4253605936
511	0.4253063088
512	0.4252499808
513	0.425137297
514	0.4250070463
515	0.4248174397
516	0.4246783921
517	0.4243900426
518	0.4242277981
519	0.4241772852
520	0.4239644467
521	0.4237802944
522	0.4235943652
523	0.4234644534
524	0.42326011
525	0.4230220623
526	0.4229945453
527	0.4225656395
528	0.4225345479
529	0.4223757248
530	0.4222596825
531	0.4220364916
532	0.4218997039
533	0.4217040887
534	0.4216293461
535	0.4214139869
536	0.4214009734
537	0.4213522501
538	0.4212189444
539	0.4211047461
540	0.4210416388
541	0.4210166421
542	0.4208510822
543	0.4207685859
544	0.4205733533
545	0.4204542622
546	0.4200925457
547	0.4196634615
548	0.4195710547
549	0.4194062583
550	0.419293241
551	0.4191043934
552	0.4189384332
553	0.4187571271
554	0.4186557493
555	0.4185485819
556	0.4183239176
557	0.4182019007
558	0.4179958491
559	0.4177348575
560	0.4176605694
561	0.4175328045
562	0.4174634566
563	0.41738624
564	0.4172792022
565	0.4171021234
566	0.4170530345
567	0.4168883182
568	0.4167191706
569	0.4165341634
570	0.4163894814
571	0.4162056292
572	0.416131448
573	0.4160974182
574	0.415962653
575	0.4158890455
576	0.4157331847
577	0.4155983031
578	0.4154240006
579	0.4151165922
580	0.4150395023
581	0.4147298907
582	0.4146663618
583	0.4145777691
584	0.4144184331
585	0.4143133327
586	0.4142164792
587	0.414080009
588	0.4140329714
589	0.413888687
590	0.4138759074
591	0.4138404913
592	0.4137036487
593	0.4135190931
594	0.413506557
595	0.4133987195
596	0.4133053964
597	0.4131193278
598	0.4129423508
599	0.4128865746
600	0.4128727887
601	0.412869196
602	0.4127328784
603	0.4125237091
604	0.4125034423
605	0.4124137177
606	0.4123147317
607	0.4122022933
608	0.412003204
609	0.4118626813
610	0.4118456716
611	0.4117395687
612	0.411659207
613	0.4116034061
614	0.4115528827
615	0.4114226915
616	0.4112027917
617	0.4110423624
618	0.4108652554
619	0.4108545892
620	0.4107792935
621	0.4107408926
622	0.4106308234
623	0.4103560311
624	0.4101478338
625	0.4100067243
626	0.4098864371
627	0.4096476601
628	0.4095455732
629	0.4094783396
630	0.4094272299
631	0.4091940409
632	0.4090829053
633	0.4088429769
634	0.4086234375
635	0.4085439475
636	0.4084237195
637	0.408356097
638	0.4082693816
639	0.4080487773
640	0.4079611629
641	0.4078669943
642	0.407549741
643	0.4074050654
644	0.4073515396
645	0.4072209223
646	0.4071244013
647	0.4070286105
648	0.4067767866
649	0.4066647677
650	0.4066410435
651	0.4066342993
652	0.406443547
653	0.4063860241
654	0.4063203097
655	0.4062093041
656	0.4061351373
657	0.4060427703
658	0.4059613273
659	0.4059015595
660	0.4058882528
661	0.4056991684
662	0.4056442482
663	0.4056111513
664	0.4054890455
665	0.4053384002
666	0.4053143446
667	0.4051993648
668	0.4051128728
669	0.4050597707
670	0.4049878307
671	0.404967965
672	0.4049242058
673	0.4047068759
674	0.4046132661
675	0.4044842143
676	0.4042740219
677	0.4040932615
678	0.4039233961
679	0.4038527171
680	0.4037872402
681	0.4036480883
682	0.4035701925
683	0.4033194202
684	0.4032085495
685	0.4030815767
686	0.4028017754
687	0.4025778903
688	0.4024532538
689	0.4023775919
690	0.4022994709
691	0.4022829868
692	0.4020464821
693	0.4019100345
694	0.4017044765
695	0.4016528194
696	0.4014818804
697	0.4012779288
698	0.4011256038
699	0.4010167396
700	0.4009431147
701	0.4008777558
702	0.400867791
703	0.4007849464
704	0.4007313477
705	0.4005783647
706	0.4004214535
707	0.4003492783
708	0.400273827
709	0.4001416672
710	0.4001387817
711	0.4000256596
712	0.3998907259
713	0.3998004931
714	0.3997497142
715	0.3996892911
716	0.3996314245
717	0.3996211693
718	0.3994567792
719	0.3993904422
720	0.3993520209
721	0.399283019
722	0.3992465288
723	0.3990765545
724	0.3989641475
725	0.3989416354
726	0.3987896131
727	0.3986423037
728	0.3985666846
729	0.3985031429
730	0.3983737305
731	0.3983242653
732	0.3982367922
733	0.3982092503
734	0.3982045346
735	0.3980014638
736	0.3978802511
737	0.3977881157
738	0.3977232365
739	0.397567992
740	0.3974206067
741	0.3973447207
742	0.3972935444
743	0.3972091014
744	0.3971313034
745	0.3969915316
746	0.3969310689
747	0.3968072668
748	0.3967699367
749	0.3966441034
750	0.3965216867
751	0.3963998319
752	0.3963324999
753	0.3961995453
754	0.3961530642
755	0.3960380947
756	0.3959646952
757	0.3959262422
758	0.3957968981
759	0.3956930344
760	0.3956507058
761	0.3955815006
762	0.3954561445
763	0.3954046288
764	0.3951288821
765	0.3951135006
766	0.3949432582
767	0.3948207489
768	0.3947020425
769	0.3946779889
770	0.3946091506
771	0.3945240926
772	0.3944579065
773	0.3941500102
774	0.3939582985
775	0.3939453686
776	0.3938760729
777	0.3937283448
778	0.3936486259
779	0.3935515733
780	0.3934516188
781	0.3933579177
782	0.3932763981
783	0.3931337654
784	0.3930449499
785	0.3929386547
786	0.392867555
787	0.3926536371
788	0.3926022628
789	0.392487276
790	0.3924275804
791	0.3922303715
792	0.3921634107
793	0.3921084693
794	0.3919564741
795	0.3919464239
796	0.3918585386
797	0.3918104838
798	0.391781059
799	0.3915620038
800	0.3913629989
801	0.3912111426
802	0.391122626
803	0.391046895
804	0.3908920925
805	0.39084088
806	0.3907987565
807	0.3907908643
808	0.3907106525
809	0.3904737646
810	0.3902884112
811	0.3901667701
812	0.3901625653
813	0.3901475927
814	0.3901072881
815	0.3900638902
816	0.3900261084
817	0.3899180271
818	0.389780779
819	0.3896750328
820	0.3895900151
821	0.3895417974
822	0.389463375
823	0.3894288651
824	0.3892895905
825	0.3891532381
826	0.3891014147
827	0.3888846788
828	0.3887036122
829	0.3886224103
830	0.3885695407
831	0.3884460006
832	0.3882976209
833	0.3881959131
834	0.388101271
835	0.3879633339
836	0.3878703276
837	0.3878435417
838	0.3876014085
839	0.3875159448
840	0.3873922863
841	0.387159452
842	0.3871416627
843	0.3871273804
844	0.3871076465
845	0.386942065
846	0.3867747823
847	0.3866143655
848	0.3864980507
849	0.3864070508
850	0.3863790366
851	0.38632864
852	0.3862517513
853	0.3861529988
854	0.386008521
855	0.3860015497
856	0.3859291631
857	0.3858992269
858	0.3858701199
859	0.3858019132
860	0.3857514015
861	0.3856848746
862	0.3856521404
863	0.3855861262
864	0.3854082358
865	0.3852285736
866	0.385215064
867	0.3851882372
868	0.385148073
869	0.3850519952
870	0.3849630036
871	0.3848568345
872	0.3848453146
873	0.3848159166
874	0.3848045015
875	0.3847352566
876	0.3846597277
877	0.3845958894
878	0.3844994814
879	0.3844407799
880	0.3843031545
881	0.3842375782
882	0.3842002732
883	0.3841412707
884	0.3841108255
885	0.3839900539
886	0.3837892931
887	0.3837224633
888	0.3836768162
889	0.3836545714
890	0.3836407452
891	0.3835900274
892	0.3834950711
893	0.3834352899
894	0.383291307
895	0.3832374611
896	0.3831300758
897	0.3830211931
898	0.3830095575
899	0.3828967699
900	0.3827939404
901	0.3827883297
902	0.3827276483
903	0.3826673444
904	0.3826290243
905	0.3825488533
906	0.3824566987
907	0.3824260205
908	0.38225963
909	0.3822219773
910	0.3821085112
911	0.3820101747
912	0.3819304647
913	0.3816957627
914	0.3816601597
915	0.3815078816
916	0.3814948309
917	0.3812729916
918	0.3812098452
919	0.3811544575
920	0.3809562518
921	0.38093248
922	0.3809125208
923	0.3808461892
924	0.3806494266
925	0.3805832466
926	0.3804522906
927	0.3803787489
928	0.3801360373
929	0.3800751754
930	0.3800306178
931	0.3799363832
932	0.3797855935
933	0.3796912441
934	0.3795838271
935	0.3795126359
936	0.3794766793
937	0.3794624758
938	0.379333323
939	0.3792714422
940	0.3792223926
941	0.3791792213
942	0.3790874953
943	0.3789173294
944	0.3788030162
945	0.3787907193
946	0.3786688812
947	0.3786462056
948	0.3785722754
949	0.3784916151
950	0.3783391908
951	0.3783130897
952	0.3780495428
953	0.3780388964
954	0.3779195079
955	0.3778227345
956	0.3777422822
957	0.3776533141
958	0.3776489888
959	0.3775429777
960	0.3774756205
961	0.3774695861
962	0.3773478218
963	0.3772913558
964	0.3772563729
965	0.3772050084
966	0.3771214937
967	0.3770845622
968	0.3769460807
969	0.3767782693
970	0.3765348085
971	0.3763796249
972	0.3763635074
973	0.3762761133
974	0.3761339382
975	0.3760523052
976	0.3759931045
977	0.3759551061
978	0.3758524792
979	0.3757790978
980	0.3757157566
981	0.375651065
982	0.3755953127
983	0.3755657966
984	0.3755504657
985	0.3755423293
986	0.3755062251
987	0.37539038
988	0.3752119232
989	0.3751955269
990	0.3751666231
991	0.37505699
992	0.3750460482
993	0.3749643234
994	0.3749230949
995	0.3748254647
996	0.3747973837
997	0.3747673438
998	0.3747406488
999	0.3747194164
